# 批量申请后集中释放：间隙必须合并干净
# 极端批量：200 个一格块铺满池子
grow 4
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64
alloc 64

# 集中释放：先放奇数号，再放偶数号，看空闲块数怎么落
free 1
free 3
free 5
free 7
free 9
free 11
free 13
free 15
free 17
free 19
free 21
free 23
free 25
free 27
free 29
free 31
free 33
free 35
free 37
free 39
free 41
free 43
free 45
free 47
free 49
free 51
free 53
free 55
free 57
free 59
free 61
free 63
free 65
free 67
free 69
free 71
free 73
free 75
free 77
free 79
free 81
free 83
free 85
free 87
free 89
free 91
free 93
free 95
free 97
free 99
free 101
free 103
free 105
free 107
free 109
free 111
free 113
free 115
free 117
free 119
free 121
free 123
free 125
free 127
free 129
free 131
free 133
free 135
free 137
free 139
free 141
free 143
free 145
free 147
free 149
free 151
free 153
free 155
free 157
free 159
free 161
free 163
free 165
free 167
free 169
free 171
free 173
free 175
free 177
free 179
free 181
free 183
free 185
free 187
free 189
free 191
free 193
free 195
free 197
free 199
free 2
free 4
free 6
free 8
free 10
free 12
free 14
free 16
free 18
free 20
free 22
free 24
free 26
free 28
free 30
free 32
free 34
free 36
free 38
free 40
free 42
free 44
free 46
free 48
free 50
free 52
free 54
free 56
free 58
free 60
free 62
free 64
free 66
free 68
free 70
free 72
free 74
free 76
free 78
free 80
free 82
free 84
free 86
free 88
free 90
free 92
free 94
free 96
free 98
free 100
free 102
free 104
free 106
free 108
free 110
free 112
free 114
free 116
free 118
free 120
free 122
free 124
free 126
free 128
free 130
free 132
free 134
free 136
free 138
free 140
free 142
free 144
free 146
free 148
free 150
free 152
free 154
free 156
free 158
free 160
free 162
free 164
free 166
free 168
free 170
free 172
free 174
free 176
free 178
free 180
free 182
free 184
free 186
free 188
free 190
free 192
free 194
free 196
free 198
free 200

# 整池并成一块之后，再按不同档位切
alloc 1024
alloc 300
free 201
alloc 769
