# 规模样例（20000 条操作）：每条操作一行记录
# 规模样例：两万条操作的申请释放混合，用来压时限与查确定性
grow 8
alloc 1024
free 1
alloc 900
free 2
alloc 96
alloc 1024
alloc 96
free 5
alloc 96
free 4
free 6
free 3
alloc 600
free 7
alloc 512
alloc 96
alloc 512
alloc 300
free 11
free 8
free 10
free 9
alloc 900
alloc 257
free 12
alloc 64
alloc 385
free 15
free 13
alloc 600
free 14
free 16
alloc 96
alloc 512
alloc 769
free 18
free 19
alloc 512
alloc 769
alloc 200
free 20
alloc 512
alloc 96
free 23
free 21
alloc 1024
alloc 96
alloc 200
alloc 769
free 17
alloc 769
alloc 1024
free 28
alloc 1024
alloc 96
free 25
alloc 300
alloc 200
alloc 96
free 31
free 35
alloc 200
alloc 769
free 26
alloc 300
free 24
alloc 769
alloc 1024
alloc 769
free 22
free 34
alloc 1024
free 40
alloc 200
free 41
free 38
free 32
free 27
free 30
free 37
free 39
free 33
alloc 769
alloc 512
alloc 300
free 42
alloc 300
free 45
alloc 300
alloc 1024
free 36
alloc 512
alloc 300
alloc 1024
alloc 769
free 47
free 46
alloc 1024
alloc 300
alloc 200
alloc 769
alloc 1024
free 48
alloc 200
alloc 769
alloc 512
alloc 769
free 50
free 52
free 62
free 57
alloc 200
alloc 769
alloc 1024
free 58
free 61
free 59
alloc 1024
alloc 769
alloc 200
free 66
alloc 200
alloc 300
alloc 512
free 43
alloc 1024
alloc 300
alloc 1024
alloc 300
alloc 200
free 54
alloc 1024
alloc 300
alloc 512
free 73
alloc 1024
alloc 300
alloc 1024
free 44
free 29
alloc 300
alloc 512
free 78
alloc 200
alloc 769
free 64
alloc 300
free 84
alloc 96
free 63
alloc 96
alloc 200
alloc 300
free 91
alloc 96
alloc 1024
alloc 96
alloc 512
alloc 769
alloc 512
alloc 300
alloc 1024
free 69
free 79
free 60
free 87
alloc 300
free 70
alloc 96
free 89
free 72
alloc 512
free 65
alloc 512
alloc 300
alloc 512
free 67
free 83
free 99
free 95
free 86
alloc 1024
free 92
alloc 512
free 80
free 51
alloc 300
alloc 512
free 88
alloc 200
free 53
alloc 200
free 96
alloc 1024
free 81
alloc 1024
free 90
free 76
free 55
alloc 200
alloc 96
alloc 1024
alloc 769
free 104
free 102
free 56
alloc 769
free 105
free 68
alloc 200
alloc 769
alloc 512
alloc 96
free 75
alloc 769
alloc 200
alloc 300
alloc 200
free 71
free 124
free 93
alloc 1024
free 74
free 118
free 97
alloc 200
alloc 96
free 114
alloc 769
alloc 512
free 115
alloc 1024
alloc 300
alloc 1024
alloc 769
alloc 512
alloc 96
alloc 1024
free 119
alloc 512
alloc 769
free 125
free 106
free 100
free 138
alloc 512
free 139
alloc 512
free 130
alloc 1024
free 120
free 82
free 111
free 143
free 77
alloc 512
free 141
alloc 512
alloc 769
alloc 512
free 147
alloc 512
free 145
alloc 200
alloc 300
alloc 200
alloc 96
alloc 200
free 113
alloc 1024
alloc 96
free 154
alloc 96
alloc 200
alloc 96
free 129
free 156
free 157
free 151
free 133
alloc 769
alloc 512
free 150
alloc 512
free 140
alloc 512
alloc 96
alloc 200
alloc 96
free 159
alloc 96
free 108
alloc 300
free 132
alloc 769
free 117
alloc 300
alloc 200
free 152
alloc 200
free 135
free 127
free 165
free 170
free 123
alloc 200
alloc 769
alloc 512
alloc 96
alloc 512
free 176
alloc 1024
free 142
alloc 1024
free 173
alloc 512
alloc 96
alloc 1024
alloc 96
alloc 200
free 168
alloc 512
alloc 96
alloc 512
free 148
alloc 200
alloc 96
free 158
free 166
free 161
free 162
alloc 200
alloc 769
alloc 512
free 136
alloc 200
alloc 769
free 155
free 187
free 153
alloc 300
alloc 1024
alloc 300
alloc 1024
free 180
alloc 1024
free 137
alloc 1024
free 131
alloc 200
free 112
free 85
alloc 96
free 197
alloc 769
alloc 512
alloc 769
alloc 200
alloc 300
free 126
free 107
alloc 512
free 192
free 171
alloc 96
alloc 512
free 122
free 181
free 194
free 174
alloc 96
free 190
free 177
free 204
free 193
free 185
alloc 769
alloc 512
free 94
alloc 512
alloc 769
free 183
alloc 96
alloc 1024
free 196
alloc 1024
alloc 769
alloc 1024
alloc 769
alloc 1024
free 134
alloc 512
alloc 300
free 201
alloc 300
alloc 1024
alloc 300
alloc 1024
grow
alloc 1024
free 210
alloc 600
alloc 385
alloc 257
free 128
free 198
free 195
alloc 64
free 222
alloc 64
free 227
alloc 64
free 186
free 179
free 178
alloc 257
free 206
alloc 64
free 209
alloc 257
alloc 385
alloc 64
alloc 129
free 191
free 212
alloc 600
free 235
alloc 257
alloc 129
alloc 600
free 238
free 243
free 199
free 200
free 116
alloc 64
free 242
alloc 257
alloc 385
alloc 600
free 121
alloc 257
alloc 900
alloc 600
free 221
free 213
free 214
alloc 257
alloc 385
alloc 64
free 228
alloc 257
alloc 385
free 223
free 246
alloc 600
alloc 385
free 169
free 220
alloc 257
free 144
free 241
alloc 129
alloc 600
free 251
free 231
alloc 129
free 211
free 226
alloc 257
alloc 385
alloc 64
alloc 900
alloc 600
alloc 900
free 262
free 101
alloc 257
free 203
free 248
alloc 129
free 216
free 217
alloc 64
free 258
alloc 64
free 49
alloc 64
free 230
free 254
free 245
alloc 257
alloc 900
free 270
alloc 900
free 224
alloc 385
free 232
alloc 385
alloc 64
free 202
free 182
alloc 900
free 256
free 247
alloc 257
alloc 129
alloc 257
free 268
free 263
alloc 129
alloc 600
free 279
alloc 257
alloc 129
alloc 64
alloc 900
free 271
alloc 385
free 272
free 255
alloc 64
alloc 385
free 285
alloc 129
free 273
free 282
free 269
alloc 385
alloc 257
alloc 385
alloc 600
free 229
alloc 600
alloc 385
free 239
alloc 129
alloc 64
free 109
alloc 257
alloc 129
free 261
free 244
alloc 64
alloc 129
free 219
free 291
free 207
free 149
free 266
alloc 385
alloc 64
alloc 900
alloc 257
free 275
free 303
free 305
alloc 64
free 184
free 236
alloc 900
free 189
free 309
free 265
free 287
free 278
free 294
free 301
free 218
alloc 600
alloc 385
free 308
alloc 900
alloc 64
alloc 129
free 260
free 280
alloc 64
free 267
alloc 257
alloc 900
alloc 64
alloc 129
free 299
free 188
free 296
alloc 900
free 316
alloc 900
alloc 600
free 110
free 317
free 312
free 250
alloc 900
free 103
alloc 385
free 300
free 298
alloc 257
alloc 129
free 314
alloc 900
free 321
alloc 129
alloc 600
alloc 385
alloc 257
alloc 129
alloc 257
free 172
alloc 600
free 257
alloc 64
free 302
alloc 257
alloc 385
free 98
free 320
free 292
alloc 385
alloc 600
alloc 129
free 297
free 328
alloc 64
alloc 129
free 313
free 334
free 288
alloc 385
free 331
alloc 385
alloc 257
free 205
alloc 600
alloc 385
alloc 64
alloc 385
alloc 257
alloc 129
free 335
free 339
alloc 257
alloc 900
alloc 64
free 252
alloc 257
alloc 900
alloc 64
free 357
alloc 257
free 358
alloc 64
free 253
alloc 257
free 350
alloc 257
free 355
alloc 600
alloc 129
free 306
alloc 129
free 362
free 286
alloc 64
free 327
alloc 600
alloc 900
free 304
alloc 129
alloc 64
free 367
alloc 600
free 208
free 340
free 290
alloc 64
free 311
alloc 257
alloc 900
free 259
alloc 129
free 310
free 365
alloc 64
free 332
free 249
alloc 900
free 323
alloc 129
free 343
free 237
free 373
alloc 900
alloc 257
alloc 900
alloc 600
alloc 129
alloc 257
alloc 129
alloc 64
free 324
alloc 600
alloc 129
alloc 600
free 325
alloc 64
alloc 900
alloc 600
grow 3
alloc 600
alloc 200
free 347
free 264
alloc 96
alloc 1024
alloc 96
free 371
alloc 769
free 326
alloc 769
alloc 512
alloc 300
free 370
alloc 769
alloc 1024
free 374
alloc 512
alloc 96
alloc 1024
alloc 769
alloc 200
free 307
free 403
free 274
alloc 512
alloc 769
free 284
alloc 96
free 401
alloc 96
alloc 200
alloc 300
alloc 1024
free 318
alloc 512
alloc 96
free 364
free 348
alloc 512
alloc 769
free 368
free 342
alloc 512
free 411
free 341
free 330
free 388
free 418
alloc 512
free 329
alloc 1024
alloc 96
alloc 1024
alloc 300
alloc 200
free 376
free 391
free 386
free 289
alloc 96
alloc 200
free 336
free 356
free 283
free 405
free 295
free 398
alloc 769
alloc 1024
alloc 769
free 353
alloc 96
alloc 1024
alloc 769
free 425
alloc 769
alloc 200
alloc 300
free 421
alloc 300
free 429
alloc 769
alloc 512
alloc 96
alloc 512
free 319
alloc 512
free 234
alloc 200
free 240
alloc 200
alloc 769
free 392
free 360
free 445
alloc 769
alloc 512
free 315
free 337
free 372
free 434
alloc 769
alloc 512
alloc 300
free 416
free 433
alloc 512
free 441
alloc 200
alloc 96
alloc 512
free 393
alloc 1024
free 435
alloc 1024
alloc 96
alloc 200
alloc 769
grow
alloc 769
free 431
alloc 129
alloc 600
alloc 129
alloc 257
alloc 900
free 146
alloc 900
free 322
free 454
alloc 64
alloc 129
alloc 257
free 450
free 346
alloc 385
free 424
alloc 900
alloc 257
alloc 900
alloc 257
free 415
alloc 600
alloc 129
alloc 64
alloc 900
grow
alloc 900
alloc 769
free 233
alloc 769
alloc 512
alloc 769
alloc 1024
grow
alloc 1024
free 442
free 443
free 382
alloc 600
alloc 900
alloc 600
alloc 129
alloc 257
alloc 385
alloc 64
free 385
free 427
free 164
alloc 257
free 439
free 469
alloc 385
alloc 600
free 410
free 175
free 479
free 473
free 413
alloc 600
alloc 900
free 390
free 351
alloc 257
free 463
free 470
free 452
free 404
free 381
alloc 257
free 478
alloc 600
alloc 129
free 474
alloc 129
free 389
alloc 385
free 468
free 400
alloc 600
free 500
alloc 257
alloc 129
free 344
free 338
alloc 257
alloc 129
alloc 257
alloc 385
alloc 600
alloc 129
free 387
free 440
alloc 257
alloc 900
alloc 257
alloc 129
alloc 600
alloc 900
grow 3
alloc 900
alloc 300
alloc 1024
free 438
free 422
free 363
alloc 200
free 483
alloc 512
alloc 96
alloc 200
free 420
alloc 1024
alloc 300
alloc 200
free 481
free 406
alloc 769
alloc 512
alloc 769
alloc 200
alloc 769
alloc 1024
free 524
alloc 200
alloc 96
alloc 200
alloc 769
alloc 1024
alloc 300
alloc 512
free 395
alloc 200
free 502
alloc 200
free 518
free 485
free 352
alloc 200
free 276
alloc 200
free 517
free 379
free 510
alloc 200
alloc 769
alloc 200
free 516
free 519
alloc 300
alloc 1024
alloc 769
alloc 200
free 215
alloc 1024
free 378
alloc 512
alloc 769
free 495
free 505
free 507
alloc 300
alloc 1024
free 522
alloc 512
free 544
alloc 200
free 402
alloc 1024
alloc 769
alloc 1024
alloc 769
free 506
alloc 769
grow 2
alloc 769
alloc 64
alloc 129
free 489
free 449
alloc 64
free 528
alloc 64
alloc 900
free 496
alloc 385
alloc 257
alloc 385
alloc 64
alloc 900
alloc 64
free 497
free 455
free 503
alloc 600
alloc 385
alloc 600
free 465
alloc 600
free 383
alloc 64
free 472
free 277
free 492
alloc 257
free 570
free 511
free 453
alloc 64
alloc 129
alloc 64
free 580
free 436
free 541
free 419
alloc 900
free 349
alloc 385
alloc 257
free 480
alloc 600
free 545
alloc 600
free 501
alloc 257
free 484
alloc 257
alloc 900
alloc 257
free 437
alloc 257
alloc 900
free 499
alloc 900
alloc 600
free 163
free 375
alloc 385
alloc 64
free 412
free 546
free 428
free 475
alloc 385
alloc 64
alloc 900
alloc 257
free 583
alloc 64
free 595
alloc 257
free 557
free 562
free 408
free 417
alloc 129
alloc 600
free 532
free 482
free 466
alloc 257
alloc 385
alloc 64
free 533
free 584
alloc 129
alloc 64
alloc 385
alloc 64
alloc 385
alloc 64
alloc 129
free 160
alloc 129
free 603
free 447
alloc 257
alloc 129
alloc 600
alloc 900
alloc 64
alloc 900
alloc 257
free 456
alloc 64
alloc 385
free 509
free 458
alloc 64
free 550
alloc 600
alloc 900
alloc 600
alloc 385
alloc 64
alloc 385
free 281
alloc 129
alloc 600
alloc 385
grow 3
alloc 385
alloc 769
free 611
alloc 96
alloc 200
free 605
free 573
alloc 769
free 559
free 581
free 508
free 563
alloc 200
alloc 96
alloc 1024
free 609
alloc 512
alloc 300
alloc 512
alloc 769
alloc 512
alloc 96
alloc 1024
alloc 769
alloc 512
free 225
free 535
free 399
free 366
free 380
free 627
alloc 300
alloc 200
free 536
alloc 1024
free 650
alloc 200
alloc 96
free 394
alloc 769
free 556
alloc 96
alloc 512
free 476
free 345
alloc 769
free 514
alloc 769
alloc 1024
alloc 300
alloc 200
free 471
alloc 200
free 578
free 586
free 659
free 520
alloc 96
free 594
free 644
free 630
alloc 96
alloc 200
free 361
free 558
alloc 300
free 571
alloc 300
alloc 512
alloc 96
alloc 200
alloc 769
alloc 200
